timestamp,level,message,source,user
2024-06-01 00:00:00,INFO,User Alice performed action logout.,module1,Alice
2024-06-01 00:26:00,WARNING,User Bob performed action logout.,module1,Bob
2024-06-01 00:35:00,WARNING,User Diana logged in.,module2,Diana
2024-06-01 00:40:00,INFO,Warning: Resource CPU usage is high..,module2,Charlie
2024-06-01 01:28:00,WARNING,User Bob logged in.,module3,Bob
2024-06-01 01:47:00,ERROR,Error 533: Error occurred in module profile..,module1,Charlie
2024-06-01 02:31:00,INFO,User Charlie logged in.,module2,Charlie
2024-06-01 03:05:00,ERROR,Error 323: Error occurred in module auth..,module2,Alice
2024-06-01 03:32:00,DEBUG,Warning: Resource Memory usage is high..,module3,Bob
2024-06-01 04:11:00,DEBUG,Warning: Resource Disk usage is high..,module1,Bob
2024-06-01 04:48:00,ERROR,User Diana performed action login.,module3,Diana
2024-06-01 05:10:00,INFO,Error 929: Error occurred in module profile..,module1,Charlie
2024-06-01 05:29:00,INFO,User Diana logged in.,module2,Diana
2024-06-01 06:05:00,INFO,Error 162: Error occurred in module profile..,module2,Alice
2024-06-01 06:50:00,INFO,User Diana performed action logout.,module3,Diana
2024-06-01 07:11:00,WARNING,User Diana logged in.,module3,Diana
2024-06-01 07:46:00,ERROR,User Diana performed action login.,module2,Diana
2024-06-01 08:30:00,INFO,Warning: Resource CPU usage is high..,module2,Charlie
2024-06-01 09:25:00,ERROR,Warning: Resource CPU usage is high..,module3,Alice
2024-06-01 10:24:00,WARNING,User Bob logged in.,module3,Bob
2024-06-01 10:42:00,INFO,User Alice logged in.,module3,Alice
2024-06-01 11:06:00,DEBUG,User Charlie performed action logout.,module2,Charlie
2024-06-01 11:32:00,DEBUG,Warning: Resource Memory usage is high..,module1,Diana
2024-06-01 12:21:00,ERROR,User Bob logged in.,module3,Bob
2024-06-01 12:23:00,WARNING,User Alice logged in.,module3,Alice
2024-06-01 13:11:00,ERROR,Warning: Resource Disk usage is high..,module2,Alice
2024-06-01 13:53:00,ERROR,User Diana performed action update.,module1,Diana
2024-06-01 14:44:00,WARNING,User Diana performed action logout.,module1,Diana
2024-06-01 15:05:00,DEBUG,Error 208: Error occurred in module profile..,module2,Diana
